Block,Strain.used,Strain,np
FCX,JU4093.old,JU4093,12
FCX,JU1857.old,JU1857,13
FCX,JU1428.old,JU1428,15
FCX,JU724.old,JU724,9
FCX,ZF1092.old,ZF1092,14
FCX,VX80.old,VX80,12
FCX,JU1873.old,JU1873,49
FCX,SB454.old,SB454,41
FCY,ZF1092.old,ZF1092,17
FCY,JU4093.old,JU4093,15
FCY,JU1873.old,JU1873,63
FCY,JU724.old,JU724,12
FCY,SB454.old,SB454,44
FCY,JU1857.old,JU1857,17
FCY,VX80.old,VX80,16
FCY,JU1428.old,JU1428,19
FCZ,JU1857.old,JU1857,19
FCZ,SB454.old,SB454,47
FCZ,JU4093.new,JU4093,1
FCZ,JU1428.new,JU1428,2
FCZ,ZF1092.new,ZF1092,1
FCZ,VX80.new,VX80,2
FCZ,JU1873.new,JU1873,1
FCZ,JU724.new,JU724,1
FDI,ZF1092.new,ZF1092,12
FDI,JU1427.new,JU1427,12
FDI,JU1857.new,JU1857,3
FDI,SB454.new,SB454,3
FDI,JU724.new,JU724,10
FDI,JU4093.new,JU4093,13
FDI,JU1873.new,JU1873,3
FDI,VX80.new,VX80,12
