"","Strain","number","max.like","max.like.value","sub.val","conf.low","conf.high","strain.group"
"1","JU1428",10669,66.5,0.236031498047469,-3.36379001655953,18.1,218.3,"JU1428"
"2","JU1580",3531,3470,0.000437968877028222,-9.65336270712569,1708,6314,"JU1580"
"3","JU1857",9499,300.5,0.00194809339692613,-8.16090412987717,110.5,665.7,"JU1857"
"4","JU1873",10913,17.7,0.0903603903742943,-4.32394926718035,6.1,45.9,"JU1873"
"5","JU4093",10990,2.3,0.0199800846005607,-5.8330192715084,0.9,5.5,"JU4093"
"6","JU724.new",7667,666.9,0.340984044439076,-2.99591959329457,143.5,2619,"JU724"
"7","JU724.old",10869,26.5,0.318298140960437,-3.06476678523758,5.7,87.9,"JU724"
"8","SB454",10114,177.5,0.0906944334011849,-4.32025929749108,61.1,460.1,"SB454"
"9","VX80",10940,12.3,0.000113556832353806,-11.0032071207798,5.5,25.1,"VX80"
"10","ZF1092",10999,0.5,0.178822570611263,-3.64136119036579,0.1,1.9,"ZF1092"
